,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-08-20 11:08:00,232.12,39.37,1,214.4542140253056,-494.0987572502625,69487.25498595035,30326.444086611104,99813.69907256146,0.0,11.100375229812926,-186.30092743854038,0.00011122330855806162
2024-08-20 11:09:00,232.2,39.39,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,7.274361977004446,-179.02656546153594,7.287939475841831e-05
2024-08-20 11:10:00,232.19,39.36,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:11:00,232.06,39.35,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:12:00,232.11,39.37,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:13:00,232.12,39.36,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:14:00,231.97,39.32,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:15:00,232.05,39.32,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:16:00,231.92,39.27,0,0.0,0.0,99820.97343453846,0.0,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:17:00,231.69,39.25,1,215.41925295554074,-495.6017228699688,69362.8543399155,30458.119094622958,99820.97343453846,0.0,0.0,-179.02656546153594,0.0
2024-08-20 11:18:00,231.74,39.25,1,215.41925295554074,-495.6017228699688,69362.8543399155,30468.89005727074,99831.74439718624,0.0,10.770962647773558,-168.25560281376238,0.00010790280115657858
2024-08-20 11:19:00,231.88,39.3,0,0.0,0.0,99837.12300645652,0.0,99837.12300645652,0.0,5.378609270279412,-162.87699354348297,5.3876743342007316e-05
2024-08-20 11:20:00,231.92,39.31,0,0.0,0.0,99837.12300645652,0.0,99837.12300645652,0.0,0.0,-162.87699354348297,0.0
2024-08-20 11:21:00,231.78,39.25,0,0.0,0.0,99837.12300645652,0.0,99837.12300645652,0.0,0.0,-162.87699354348297,0.0
2024-08-20 11:22:00,231.9,39.29,0,0.0,0.0,99837.12300645652,0.0,99837.12300645652,0.0,0.0,-162.87699354348297,0.0
2024-08-20 11:23:00,231.81,39.28,0,0.0,0.0,99837.12300645652,0.0,99837.12300645652,0.0,0.0,-162.87699354348297,0.0
2024-08-20 11:24:00,231.9,39.26,-1,-215.25899742659877,495.55564775611526,130300.16977877969,-30463.046772323174,99837.12300645652,0.0,0.0,-162.87699354348297,0.0
2024-08-20 11:25:00,232.02,39.28,-1,-215.25899742659877,495.55564775611526,130300.16977877969,-30478.96673905924,99821.20303972045,0.0,-15.919966736066272,-178.79696027954924,-0.00015945939002104392
2024-08-20 11:26:00,231.97,39.25,-1,-215.25899742659877,495.55564775611526,130300.16977877969,-30483.07045862059,99817.09932015909,0.0,-4.103719561360776,-182.90067984091002,-4.111070029610975e-05
2024-08-20 11:27:00,231.82,39.23,0,0.0,0.0,99839.47705681797,0.0,99839.47705681797,0.0,22.37773665887653,-160.5229431820335,0.00022418740688001648
