,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-09-18 12:52:00,237.76,39.36,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:53:00,237.76,39.35,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:54:00,237.8,39.36,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14223.032441902753,100000.0,0.0,0.0,0.0,0.0
2024-09-18 12:55:00,237.82,39.37,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14218.147979651687,100004.88446225107,0.0,4.884462251065997,4.884462251065997,4.8844622510646474e-05
2024-09-18 12:56:00,237.84,39.37,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14222.353194117626,100000.67924778513,0.0,-4.205214465939207,0.6792477851267904,-4.205009073854349e-05
2024-09-18 12:57:00,237.89,39.35,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14251.045583716455,99971.98685818631,0.0,-28.69238959881477,-28.01314181368798,-0.0002869219470771345
2024-09-18 12:58:00,237.92,39.37,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14239.174051981376,99983.85838992138,0.0,11.871531735072494,-16.141610078615486,0.000118748582559558
2024-09-18 12:59:00,237.92,39.35,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14257.353405415364,99965.67903648739,0.0,-18.179353433995857,-34.32096351261134,-0.0001818228834808977
2024-09-18 13:00:00,237.91,39.36,-1,-210.26072329688813,908.9676716996253,114223.03244190276,-14246.161121465404,99976.87132043735,0.0,11.192283949960256,-23.128679562651087,0.00011196126568480125
2024-09-18 13:01:00,237.88,39.35,0,0.0,0.0,99974.08946541927,0.0,99974.08946541927,0.0,-2.781855018081842,-25.91053458073293,-2.782498573261627e-05
2024-09-18 13:02:00,237.89,39.34,0,0.0,0.0,99974.08946541927,0.0,99974.08946541927,0.0,0.0,-25.91053458073293,0.0
2024-09-18 13:03:00,237.8,39.34,0,0.0,0.0,99974.08946541927,0.0,99974.08946541927,0.0,0.0,-25.91053458073293,0.0
2024-09-18 13:04:00,237.87,39.33,0,0.0,0.0,99974.08946541927,0.0,99974.08946541927,0.0,0.0,-25.91053458073293,0.0
2024-09-18 13:05:00,237.86,39.3,-1,-210.15321925800737,910.1195306500297,114193.43664358274,-14219.347178163473,99974.08946541927,0.0,0.0,-25.91053458073293,0.0
2024-09-18 13:06:00,237.86,39.29,-1,-210.15321925800737,910.1195306500297,114193.43664358274,-14228.448373469968,99964.98827011278,0.0,-9.10119530648808,-35.01172988722101,-9.103554086020704e-05
2024-09-18 13:07:00,237.87,39.3,-1,-210.15321925800737,910.1195306500297,114193.43664358274,-14221.448710356053,99971.98793322669,0.0,6.999663113907445,-28.012066773313563,7.002114675391802e-05
2024-09-18 13:08:00,237.83,39.29,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,-0.695066536165541,-28.707133309479104,-6.952612932265012e-06
2024-09-18 13:09:00,237.81,39.3,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:10:00,237.83,39.3,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:11:00,237.79,39.29,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:12:00,237.77,39.28,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:13:00,237.77,39.27,0,0.0,0.0,99971.29286669052,0.0,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:14:00,237.7,39.27,1,210.2887944187853,-910.7893306933091,85752.34344967152,14218.949417019008,99971.29286669052,0.0,0.0,-28.707133309479104,0.0
2024-09-18 13:15:00,237.66,39.25,1,210.2887944187853,-910.7893306933091,85752.34344967152,14228.753651856125,99981.09710152764,0.0,9.804234837123659,-18.902898472355446,9.807050160093311e-05
2024-09-18 13:16:00,237.64,39.25,1,210.2887944187853,-910.7893306933091,85752.34344967152,14224.54787596775,99976.89132563927,0.0,-4.205775888374774,-23.10867436073022,-4.20657105223432e-05
