,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-08-20 11:18:00,231.74,39.25,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,10.77425191635848,-137.76868806756102,0.00010790280115680062
2024-08-20 11:19:00,231.88,39.3,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:20:00,231.92,39.31,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:21:00,231.78,39.25,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:22:00,231.9,39.29,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:23:00,231.81,39.28,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:24:00,231.9,39.26,0,0.0,0.0,99862.23131193244,0.0,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:25:00,232.02,39.28,-1,-215.20177422621418,495.484382970648,130330.72040481161,-30468.489092879165,99862.23131193244,0.0,0.0,-137.76868806756102,0.0
2024-08-20 11:26:00,231.97,39.25,-1,-215.20177422621418,495.484382970648,130330.72040481161,-30472.593535656968,99858.12686915464,0.0,-4.104442777796066,-141.87313084535708,-4.110105215826554e-05
2024-08-20 11:27:00,231.82,39.23,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,22.370578474525246,-119.50255237083184,0.00022402361406026472
2024-08-20 11:28:00,231.78,39.24,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:29:00,231.93,39.31,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:30:00,231.91,39.25,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:31:00,232.08,39.3,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:32:00,232.13,39.34,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:33:00,232.1,39.35,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:34:00,232.19,39.38,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:35:00,232.2,39.38,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:36:00,232.34,39.41,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:37:00,232.32,39.42,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:38:00,232.4,39.45,0,0.0,0.0,99880.49744762917,0.0,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:39:00,232.34,39.45,1,214.94468762939908,-493.4394559542488,69406.4352612097,30474.06218641947,99880.49744762917,0.0,0.0,-119.50255237083184,0.0
2024-08-20 11:40:00,232.28,39.44,1,214.94468762939908,-493.4394559542488,69406.4352612097,30466.09989972125,99872.53516093094,0.0,-7.962286698224489,-127.46483906905632,-7.971813218488055e-05
2024-08-20 11:41:00,232.26,39.42,0,0.0,0.0,99878.10505629744,0.0,99878.10505629744,0.0,5.5698953664978035,-121.89494370255852,5.5770040857883174e-05
2024-08-20 11:42:00,232.26,39.41,0,0.0,0.0,99878.10505629744,0.0,99878.10505629744,0.0,0.0,-121.89494370255852,0.0
2024-08-20 11:43:00,232.06,39.33,0,0.0,0.0,99878.10505629744,0.0,99878.10505629744,0.0,0.0,-121.89494370255852,0.0
2024-08-20 11:44:00,232.07,39.32,0,0.0,0.0,99878.10505629744,0.0,99878.10505629744,0.0,0.0,-121.89494370255852,0.0
2024-08-20 11:45:00,231.97,39.26,-1,-215.28237499740794,495.815595334634,130351.43731160843,-30473.33225531099,99878.10505629744,0.0,0.0,-121.89494370255852,0.0
2024-08-20 11:46:00,232.01,39.27,-1,-215.28237499740794,495.815595334634,130351.43731160843,-30476.985394357536,99874.4519172509,0.0,-3.653139046538854,-125.54808274909738,-3.65759747291694e-05
2024-08-20 11:47:00,231.84,39.27,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,36.59800374954648,-88.9500789995509,0.00036644009601038974
2024-08-20 11:48:00,231.94,39.27,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:49:00,231.95,39.27,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:50:00,231.99,39.27,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:51:00,232.09,39.31,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:52:00,232.06,39.3,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:53:00,232.01,39.31,0,0.0,0.0,99911.04992100045,0.0,99911.04992100045,0.0,0.0,-88.9500789995509,0.0
2024-08-20 11:54:00,232.0,39.33,1,215.32553862284578,-495.09639091414857,69427.66601515369,30483.383905846764,99911.04992100046,0.0,1.4551915228366852e-11,-88.95007899953634,2.220446049250313e-16
2024-08-20 11:55:00,232.02,39.32,0,0.0,0.0,99920.30739568204,0.0,99920.30739568204,0.0,9.257474681580788,-79.69260431795556,9.265716543760405e-05
2024-08-20 11:56:00,231.97,39.33,1,215.3733400777731,-495.1422651423492,69434.0989858896,30486.20840979243,99920.30739568203,0.0,-1.4551915228366852e-11,-79.69260431797011,-1.1102230246251565e-16
2024-08-20 11:57:00,231.92,39.32,1,215.3733400777731,-495.1422651423492,69434.0989858896,30480.391165439964,99914.49015132958,0.0,-5.81724435245269,-85.5098486704228,-5.821883963408325e-05
2024-08-20 11:58:00,231.89,39.34,1,215.3733400777731,-495.1422651423492,69434.0989858896,30464.02711993478,99898.12610582438,0.0,-16.364045505193644,-101.87389417561644,-0.00016378050351262274
2024-08-20 11:59:00,231.83,39.31,0,0.0,0.0,99900.057973374,0.0,99900.057973374,0.0,1.9318675496178912,-99.94202662599855,1.933837625323065e-05
2024-08-20 12:00:00,231.78,39.3,0,0.0,0.0,99900.057973374,0.0,99900.057973374,0.0,0.0,-99.94202662599855,0.0
